nodeid,lat,long
477,40.6228,-74.0286
478,40.6228,-73.9384
479,40.6229,-74.0384
480,40.6229,-74.0013
481,40.623,-74.0358
482,40.6231,-74.0223
483,40.6231,-73.9327
484,40.6231,-73.9234
485,40.6232,-74.0301
486,40.6232,-74.03
487,40.6232,-74.0294
488,40.6232,-74.0275
489,40.6232,-74.023
490,40.6232,-74.0
491,40.6232,-73.9771
492,40.6233,-74.0341
493,40.6233,-74.0276
494,40.6233,-74.0047
495,40.6233,-73.9501
496,40.6234,-74.0303
497,40.6236,-73.9808
498,40.6236,-73.9063
499,40.6237,-74.0399
500,40.6237,-73.7775
501,40.6238,-74.0249
502,40.6238,-74.0239
503,40.6238,-74.0221
504,40.6238,-74.0084
505,40.6239,-73.7774
506,40.624,-74.109
507,40.624,-74.0089
508,40.624,-73.7325
509,40.6243,-74.0407
510,40.6244,-74.0278
511,40.6244,-74.0277
512,40.6244,-73.9188
513,40.6245,-73.9512
514,40.6246,-73.9663
515,40.6248,-74.0396
516,40.6249,-74.0274
517,40.6249,-73.9815
518,40.6249,-73.9711
519,40.625,-74.0228
520,40.6252,-73.9617
521,40.6252,-73.9607
522,40.6252,-73.9247
523,40.6253,-74.0249
524,40.6253,-73.9624
525,40.6254,-73.9874
526,40.6254,-73.9624
527,40.6254,-73.9399
528,40.6255,-73.9643
529,40.6256,-73.9331
530,40.6256,-73.9116
531,40.6257,-73.7231
532,40.6258,-73.9711
533,40.6258,-73.9468
534,40.6261,-74.024
535,40.6261,-73.9751
536,40.6261,-73.9732
537,40.6261,-73.9276
538,40.6263,-74.0126
539,40.6263,-73.9497
540,40.6264,-73.951
541,40.6265,-74.0025
542,40.6266,-74.0023
543,40.6266,-73.9711
544,40.6268,-74.0348
545,40.6268,-74.0208
546,40.6268,-73.921
547,40.6269,-73.9685
548,40.6269,-73.968
549,40.6269,-73.9469
550,40.6269,-73.9317
551,40.627,-73.9939
552,40.627,-73.8916
553,40.6271,-74.0355
554,40.6271,-74.014
555,40.6271,-73.9627
556,40.6272,-74.0127
557,40.6272,-73.9417
558,40.6274,-74.0266
559,40.6274,-74.0264
560,40.6274,-74.0192
561,40.6274,-73.9317
562,40.6275,-74.0264
563,40.6275,-73.9201
564,40.6276,-74.0281
565,40.6276,-74.0211
566,40.6276,-73.9934
567,40.6278,-74.0179
568,40.6278,-73.9713
569,40.6279,-74.0391
570,40.628,-74.0262
571,40.628,-73.9519
572,40.6281,-73.9569
573,40.6281,-73.9567
574,40.6282,-73.9727
575,40.6282,-73.9521
576,40.6283,-74.007
577,40.6284,-74.0291
578,40.6285,-73.9699
579,40.6286,-74.0388
580,40.6286,-74.0061
581,40.6286,-73.7692
582,40.6287,-74.0296
583,40.6287,-74.023
584,40.6288,-74.029
585,40.6288,-73.9742
586,40.6289,-74.0289
587,40.629,-74.0251
588,40.6291,-74.019
589,40.6291,-74.0055
590,40.6291,-73.9743
591,40.6292,-74.022
592,40.6292,-74.0101
593,40.6292,-73.987
594,40.6293,-74.0198
595,40.6293,-73.9685
596,40.6293,-73.9467
597,40.6294,-74.029
598,40.6295,-74.2513
599,40.6295,-74.0259
600,40.6295,-73.9949
601,40.6295,-73.9431
602,40.6296,-73.9357
603,40.6298,-73.9633
604,40.6298,-73.9326
605,40.6298,-73.7069
606,40.6298,-73.7017
607,40.6299,-74.0225
608,40.63,-73.9989
609,40.63,-73.9058
610,40.63,-73.7243
611,40.6301,-74.0284
612,40.6302,-74.1058
613,40.6302,-74.0236
614,40.6302,-73.9642
615,40.6302,-73.9446
616,40.6303,-73.9782
617,40.6303,-73.9593
618,40.6304,-73.9652
619,40.6305,-74.027
620,40.6305,-73.731
621,40.6306,-74.0311
622,40.6306,-73.9664
623,40.6307,-74.0247
624,40.6307,-74.0094
625,40.6307,-73.9859
626,40.6307,-73.9774
627,40.6308,-73.9881
628,40.6308,-73.9406
629,40.6309,-73.9913
630,40.6309,-73.9339
631,40.6309,-73.7719
632,40.6309,-73.7154
633,40.631,-74.0219
634,40.631,-73.9714
635,40.6311,-74.026
636,40.6311,-73.9727
637,40.6311,-73.9397
638,40.6312,-74.0279
639,40.6312,-74.019
640,40.6312,-73.7818
641,40.6313,-74.0265
642,40.6314,-73.9772
643,40.6315,-74.019
644,40.6315,-73.9922
645,40.6315,-73.9013
646,40.6315,-73.719
647,40.6316,-74.0191
648,40.6317,-73.979
649,40.6318,-74.0294
650,40.6318,-74.0196
651,40.6318,-73.944
652,40.6319,-74.029
653,40.6319,-74.0199
654,40.632,-73.898
655,40.6321,-73.9646
656,40.6322,-74.0205
657,40.6323,-74.0312
658,40.6325,-74.0362
659,40.6325,-74.0287
660,40.6325,-74.017
661,40.6326,-73.884
662,40.6327,-74.0184
663,40.6327,-73.9501
664,40.6327,-73.9175
665,40.6328,-74.0177
666,40.6328,-73.9953
667,40.6328,-73.9477
668,40.6329,-73.9721
669,40.633,-73.9478
670,40.6331,-73.9859
671,40.6331,-73.9477
672,40.6331,-73.9409
673,40.6332,-74.0317
674,40.6332,-74.024
675,40.6332,-73.951
676,40.6332,-73.9481
677,40.6333,-74.0136
678,40.6333,-73.9484
679,40.6334,-73.9909
680,40.6334,-73.9146
681,40.6335,-73.9649
682,40.6335,-73.6255
683,40.6336,-73.8999
684,40.6336,-73.8936
685,40.6337,-74.0523
686,40.6337,-74.0309
687,40.6338,-74.0873
688,40.6338,-73.9669
689,40.6338,-73.958
690,40.6338,-73.9256
691,40.6338,-73.9201
692,40.6339,-73.972
693,40.634,-73.9649
694,40.634,-73.9489
695,40.6341,-74.0224
696,40.6341,-73.948
697,40.6341,-73.9315
698,40.6341,-73.9236
699,40.6342,-73.9878
700,40.6342,-73.963
701,40.6343,-74.0355
702,40.6343,-74.0296
703,40.6343,-73.9674
704,40.6344,-74.0296
705,40.6344,-74.0267
706,40.6344,-73.9673
707,40.6345,-74.0143
708,40.6346,-74.0314
709,40.6346,-74.0313
710,40.6346,-73.9653
711,40.6347,-74.0319
712,40.6347,-73.9582
713,40.6348,-74.0102
714,40.6348,-73.9661
715,40.6349,-74.0294
716,40.6349,-74.0056
717,40.6349,-73.932
718,40.635,-73.9623
719,40.6351,-73.9966
720,40.6351,-73.9401
721,40.6352,-74.0375
722,40.6352,-73.97
723,40.6352,-73.8991
724,40.6352,-73.8855
725,40.6353,-74.0
726,40.6354,-74.0321
727,40.6354,-73.9562
728,40.6355,-74.0292
729,40.6355,-73.9134
730,40.6356,-74.0255
731,40.6356,-73.9808
732,40.6356,-73.9777
733,40.6356,-73.9643
734,40.6357,-74.029
735,40.6357,-73.9597
736,40.6358,-73.9757
737,40.6358,-73.9627
738,40.6359,-74.0268
739,40.636,-73.9953
740,40.636,-73.959
741,40.636,-73.9063
742,40.6362,-74.0196
743,40.6362,-73.9645
744,40.6362,-73.9217
745,40.6363,-73.9853
746,40.6363,-73.9731
747,40.6363,-73.9673
748,40.6363,-73.9104
749,40.6364,-74.0287
750,40.6364,-73.9942
751,40.6365,-73.9686
752,40.6367,-74.0285
753,40.6367,-73.9481
754,40.6368,-74.0187
755,40.6369,-74.0344
756,40.637,-74.0225
757,40.637,-73.949
758,40.6371,-74.0225
759,40.6372,-73.9715
760,40.6372,-73.96
761,40.6373,-74.0077
762,40.6373,-73.9974
763,40.6373,-73.9899
764,40.6373,-73.9656
765,40.6373,-73.8936
766,40.6374,-73.9716
767,40.6376,-73.9931
768,40.6376,-73.91
769,40.6377,-74.0164
770,40.6377,-73.9813
771,40.6377,-73.9589
772,40.6378,-73.9414
773,40.6379,-74.0075
774,40.6379,-73.9706
775,40.6379,-73.7226
776,40.638,-74.1028
777,40.638,-74.0273
778,40.638,-73.9938
779,40.6381,-74.0257
780,40.6382,-73.9539
781,40.6383,-74.0246
782,40.6383,-74.0221
783,40.6383,-74.0175
784,40.6383,-73.7099
785,40.6384,-73.9747
786,40.6384,-73.9739
787,40.6384,-73.9677
788,40.6384,-73.9676
789,40.6384,-73.9577
790,40.6386,-73.972
791,40.6386,-73.954
792,40.6387,-73.9973
793,40.6387,-73.9878
794,40.6387,-73.9729
795,40.6387,-73.9708
796,40.6387,-73.9659
797,40.6388,-74.0183
798,40.6388,-73.9971
799,40.6388,-73.9732
800,40.6388,-73.9599
801,40.6388,-73.9511
802,40.6388,-73.9458
803,40.6389,-73.9702
804,40.6389,-73.9689
805,40.6389,-73.96
806,40.6389,-73.9431
807,40.6391,-74.0809
808,40.6391,-74.0345
809,40.6391,-73.9989
810,40.6391,-73.9669
811,40.6391,-73.957
812,40.6392,-74.0232
813,40.6392,-73.999
814,40.6392,-73.9112
815,40.6393,-73.9686
816,40.6393,-73.9589
817,40.6394,-73.9686
818,40.6394,-73.9684
819,40.6394,-73.9639
820,40.6395,-73.9829
821,40.6395,-73.9699
822,40.6395,-73.7883
823,40.6396,-73.998
824,40.6396,-73.9861
825,40.6396,-73.9069
826,40.6397,-74.0241
827,40.6397,-73.967
828,40.6397,-73.9603
829,40.6397,-73.7434
830,40.6398,-74.0045
831,40.6398,-73.9999
832,40.6398,-73.9737
833,40.6398,-73.9549
834,40.6398,-73.9398
835,40.6398,-73.6776
836,40.6399,-73.9978
837,40.6401,-73.9992
838,40.6402,-73.9668
839,40.6403,-73.9701
840,40.6403,-73.9671
841,40.6403,-73.883
842,40.6404,-73.9793
843,40.6404,-73.9692
844,40.6404,-73.9672
845,40.6404,-73.9664
846,40.6404,-73.9663
847,40.6404,-73.9614
848,40.6404,-73.9569
849,40.6404,-73.9398
850,40.6405,-73.9681
851,40.6405,-73.9624
852,40.6405,-73.9547
853,40.6405,-73.9475
854,40.6405,-73.8821
855,40.6406,-74.0119
856,40.6406,-73.9547
857,40.6407,-73.9898
858,40.6407,-73.9532
859,40.6408,-73.9861
860,40.6408,-73.9739
861,40.6408,-73.9735
862,40.6408,-73.951
863,40.6409,-73.9739
864,40.6409,-73.9681
865,40.6409,-73.961
866,40.6409,-73.6916
867,40.641,-73.973
868,40.641,-73.9653
869,40.641,-73.7881
870,40.6411,-74.0037
871,40.6411,-73.9647
872,40.6411,-73.9635
873,40.6411,-73.9361
874,40.6411,-73.789
875,40.6412,-74.1157
876,40.6412,-74.0216
877,40.6412,-73.9791
878,40.6412,-73.971
879,40.6412,-73.9645
880,40.6412,-73.789
881,40.6412,-73.7889
882,40.6412,-73.7886
883,40.6413,-73.977
884,40.6413,-73.7893
885,40.6413,-73.7887
886,40.6413,-73.7886
887,40.6413,-73.7885
888,40.6413,-73.7882
889,40.6413,-73.788
890,40.6413,-73.7878
891,40.6414,-74.0163
892,40.6414,-73.9692
893,40.6414,-73.9642
894,40.6414,-73.7889
895,40.6414,-73.7888
896,40.6414,-73.7887
897,40.6414,-73.7886
898,40.6414,-73.7885
899,40.6414,-73.7884
900,40.6414,-73.7883
